name,ticker,Price,Last Filing,Market Cap ($M),Revenue Growth,Gross Margin,LTM FCF %,Efficiency,Quarter FCF %,LTM Free Cash Flow Growth %,Founding Year,IPO Year,Net Dollar Retention,LTM Magic Number,Quarter Magic Number,CAC Ratio,LTM Median Payback Period,Implied 5yr LTV,Implied CAC,Implied 5yr LTV/CAC,ARR Per Customer,Run Rate/Employees ($K),R&D %,General Admin Margin,S&M %,Revenue Run Rate ($M),ARR ($M),ARR Growth,Growth Persistence,Last Year Quarter Growth,Operating Income %,2020 Analyst Revenue Estimates,Last Year Run Rate ($M),LTM Revenue ($M),LTM Revenue Growth,Effective Cash,Net Cash,Earnings Link
Bill.com,BILL,,9/30/19,,57%,74%,,,-13%,,2006,2019,110%,1.6,1.4,1.2,9.9,9401.9,2170.4,4.3,1400,,33%,30%,29%,$140 ,$114 ,58%,80%,71%,-18%,$161 ,$89 ,$121 ,64%,$157 ,$157 ,[object Object]
Cloudflare,NET,,6/30/19,,49%,78%,,,-58%,,2009,2019,111%,0.9,0.7,0.7,17.9,,,,,216,28%,26%,53%,$269 ,,,85%,57%,-29%,$390 ,$181 ,$234 ,39%,$124 ,$124 ,[object Object]
PagerDuty,PD,,1/31/19,,47%,86%,-9%,38%,-1%,,2010,2019,140%,0.7,0.6,0.6,19.9,184499,46152.7,4,12040,189,26%,29%,49%,$135 ,$135 ,47%,,,-19%,$206 ,$92 ,$117 ,48%,$127 ,$127 ,[object Object]
Lightspeed POS,LSPD,,12/31/18,,34%,70%,-14%,20%,-20%,,2005,2019,,0.6,0.7,0.4,28.8,,,,,100,25%,17%,50%,$80 ,,,,,-29%,$213 ,$59 ,$71 ,,,,[object Object]
Medallia,MDLA,,4/30/19,,32%,65%,-8%,24%,18%,,2000,2019,119%,0.6,1,0.4,30.6,4395258.1,,,506194,243,21%,11%,36%,$374 ,$286 ,29%,,,-2%,$450 ,$282 ,$336 ,25%,$132 ,$132 ,[object Object]
Ping Identity,PING,,6/30/19,,26%,79%,,,,,2016,2019,115%,3.9,2.8,3,4,,,,,255,17%,14%,32%,$249 ,$225 ,27%,175%,15%,9%,$269 ,$198 ,$215 ,11%,$83 ,$80 ,[object Object]
Dynatrace,DT,,6/30/19,,25%,76%,30%,54%,24%,,1999,2019,120%,0.4,0.5,0.3,36.2,2476382.9,225322.4,11,277313,,21%,26%,48%,$490 ,$438 ,43%,286%,9%,-27%,$637 ,$392 ,$455 ,12%,$57 ,($946),[object Object]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,51%,71%,-11%,43%,-1%,125%,,,120%,1,0.9,0.7,17.9,570496.7,47916.8,4.3,40126,101,21%,16%,49%,$179 ,$148 ,54%,86%,57%,-22%,$587 ,$117 ,$159 ,54%,$50 ,$30 ,
,,,,,58%,70%,-10%,47%,-9%,227%,,,123%,2.1,3.1,1.6,19.7,1160914.2,7753.4,5.8,94489.3,116.5,23%,18%,47%,$275 ,$190 ,225%,104%,69%,-22%,"$1,253 ",$175 ,$244 ,59%,$85 ,($1),
