name,ticker,Price,Last Filing,Market Cap ($M),Revenue Growth,Gross Margin,LTM FCF %,Efficiency,EV / 2020 Revenue,EV / 2021 Revenue,Quarter FCF %,LTM Free Cash Flow Growth %,Founding Year,IPO Year,Multiple on IPO,% of 52 Week High,EV / Revenue Run Rate,EV / LTM Revenue,EV / NTM Run Rate,EV / NTM Revenue,EV / NTM Gross Profit Run Rate,Net Dollar Retention,LTM Magic Number,Quarter Magic Number,CAC Ratio,LTM Median Payback Period,Implied 5yr LTV,Implied CAC,Implied 5yr LTV/CAC,ARR Per Customer,Run Rate/Employees ($K),R&D %,General Admin Margin,S&M %,Revenue Run Rate ($M),ARR ($M),ARR Growth,Growth Persistence,Last Year Quarter Growth,Operating Income %,2020 Analyst Revenue Estimates,Last Year Run Rate ($M),LTM Revenue ($M),LTM Revenue Growth,EV / LTM Free Cash Flow,Enterprise Value,Effective Cash,Net Cash,Earnings Link
ServiceNow,NOW,$265.05 ,12/31/19,"$50,306 ",33%,78%,28%,61%,11.3x,8.9x,36%,54%,2004,2012,,74%,13.1x,14.4x,10.2x,11.3x,13.1x,97%,0.6,0.7,0.5,24.6,,,,,368,21%,10%,44%,"$3,807 ","$3,596 ",35%,109%,30%,3%,"$4,417 ","$2,861 ","$3,460 ",33%,51.2x,"$49,746 ","$1,691 ",$560 ,[object Object]
Pluralsight,PS,$10.19 ,12/31/19,"$1,445 ",32%,79%,-9%,23%,3.8x,3.0x,-15%,,2004,2018,,29%,4.2x,4.7x,3.3x,3.8x,4.2x,,0.5,0.4,0.4,31,,,,,183,,25%,64%,$355 ,,,77%,42%,-44%,$394 ,$269 ,$316 ,36%,-51.5x,"$1,493 ",$422 ,($48),
8x8,EGHT,$12.79 ,12/31/19,"$1,311 ",32%,53%,-31%,1%,2.7x,2.2x,-36%,,1987,1997,,48%,2.9x,3.3x,2.3x,2.7x,4.4x,,0.8,0.6,0.4,28.8,,,,,270,17%,19%,53%,$474 ,$411 ,33%,168%,19%,-36%,$515 ,$359 ,$418 ,24%,-10.8x,"$1,383 ",$215 ,($73),[object Object]
HubSpot,HUBS,$121.53 ,12/31/19,"$5,261 ",29%,81%,10%,39%,5.5x,4.5x,13%,26%,2005,2014,,59%,6.2x,6.9x,5.0x,5.5x,6.2x,100%,0.5,0.6,0.4,28.5,146395.1,-2054.9,-71.2,29367,186,23%,14%,49%,$744 ,$716 ,31%,83%,35%,-4%,$837 ,$576 ,$674 ,32%,68.2x,"$4,640 ",$961 ,$620 ,[object Object]
Q2 Holdings,QTWO,$55.05 ,12/31/19,"$2,665 ",29%,48%,-4%,25%,7.2x,5.8x,0%,,2005,2014,,60%,8.5x,9.4x,6.8x,7.2x,14.1x,120%,1.4,1.8,0.7,17.6,,,,,317,23%,18%,19%,$347 ,,,98%,30%,-25%,$409 ,$268 ,$315 ,31%,-211.3x,"$2,958 ",$132 ,($293),[object Object]
Tenable Holdings,TENB,$20.82 ,12/31/19,"$2,070 ",29%,81%,-9%,20%,4.3x,3.5x,-14%,,2002,2018,0.6x,58%,4.8x,5.2x,3.8x,4.3x,4.7x,,0.4,0.4,0.3,36.4,,45286.7,,,268,23%,22%,65%,$388 ,,,74%,39%,-28%,$436 ,$300 ,$354 ,33%,-58.0x,"$1,857 ",$212 ,$212 ,
BlackLine,BL,$48.66 ,12/31/19,"$2,739 ",29%,81%,7%,36%,7.2x,6.0x,7%,320%,2001,2016,2.0x,71%,7.8x,8.7x,6.3x,7.2x,7.8x,110%,0.5,0.5,0.4,27.5,,273516.3,,,308,13%,19%,55%,$321 ,,,117%,25%,-6%,$348 ,$249 ,$288 ,27%,119.8x,"$2,516 ",$607 ,$223 ,
Paycom Software,PAYC,$181.65 ,12/31/19,"$10,689 ",29%,85%,20%,49%,11.7x,9.6x,13%,21%,1998,2014,,55%,13.7x,14.4x,11.0x,11.7x,12.9x,93%,1.6,1.6,1.3,9,,,,,232,9%,15%,26%,$773 ,$190 ,29%,90%,32%,31%,$905 ,$601 ,$737 ,30%,70.1x,"$10,588 ",$133 ,$101 ,
LiveRamp Holdings,RAMP,$29.03 ,12/31/19,"$1,956 ",28%,63%,-1%,27%,2.6x,2.0x,13%,,1999,1983,,49%,2.9x,3.4x,2.4x,11.6x,3.7x,112%,0.7,1.1,0.4,27,,904080,,,420,27%,26%,51%,$408 ,,,78%,35%,-41%,$459 ,$320 ,$353 ,32%,-297.1x,"$1,188 ",$767 ,$767 ,[object Object]
Yext,YEXT,$9.46 ,1/31/20,"$1,087 ",28%,74%,-14%,13%,2.4x,1.9x,9%,,2006,2017,0.7x,42%,2.6x,2.8x,2.1x,2.2x,2.8x,,0.3,0.3,0.2,50.5,,,,,235,17%,24%,70%,$325 ,,,84%,33%,-38%,$353 ,$255 ,$298 ,31%,-19.3x,$831 ,$256 ,$256 ,
